unitID,date,unitPrice
NAB,1/11/2019,28.41
NAB,4/11/2019,27.690001
NAB,5/11/2019,27.860001
NAB,6/11/2019,27.799999
NAB,7/11/2019,28.42
NAB,8/11/2019,28.469999
NAB,11/11/2019,28.870001
NAB,12/11/2019,29.08
NAB,13/11/2019,28.790001
NAB,14/11/2019,27.799999
NAB,15/11/2019,27.639999
NAB,18/11/2019,27.309999
NAB,19/11/2019,27.26
NAB,20/11/2019,26.41
NAB,21/11/2019,26.33
NAB,22/11/2019,26.280001
DWS,1/11/2019,1.07
DWS,4/11/2019,1.065
DWS,5/11/2019,1.06
DWS,6/11/2019,1.05
DWS,7/11/2019,1.035
DWS,8/11/2019,1.03
DWS,11/11/2019,1.04
DWS,12/11/2019,1.045
DWS,13/11/2019,1.05
DWS,14/11/2019,1.07
DWS,15/11/2019,1.1
DWS,18/11/2019,1.07
DWS,19/11/2019,1.09
DWS,20/11/2019,1.065
DWS,21/11/2019,1.065
DWS,22/11/2019,1.05
